"Q2","x","y","z","pT","value","stat_err_u","sys_err_u","obs","target","hadron","col","dependence","xmin","xmax","depol"
"1.3","0.036","0.712","0.325","0.492","0.0244","0.0223","0.0024","AUTsinphiS","proton","pi0","HERMES","x","0.023","0.046",""
"1.72","0.056","0.597","0.352","0.406","0.0037","0.0172","0.0023","AUTsinphiS","proton","pi0","HERMES","x","0.046","0.067",""
"2.14","0.074","0.558","0.366","0.374","-0.0191","0.0201","0.003","AUTsinphiS","proton","pi0","HERMES","x","0.067","0.082",""
"2.58","0.093","0.538","0.372","0.353","-0.0132","0.017","0.003","AUTsinphiS","proton","pi0","HERMES","x","0.082","0.105",""
"3.19","0.118","0.522","0.378","0.338","-0.0087","0.0175","0.0026","AUTsinphiS","proton","pi0","HERMES","x","0.105","0.134",""
"4.1","0.156","0.507","0.38","0.323","-0.0198","0.0158","0.0023","AUTsinphiS","proton","pi0","HERMES","x","0.134","0.186",""
"6.14","0.249","0.479","0.386","0.326","-0.0026","0.0166","0.0035","AUTsinphiS","proton","pi0","HERMES","x","0.186","0.6",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
